-112,-12,-6
-128,4,-84
-128,71,-62
-128,51,-17
-89,40,-28
-45,42,-18
25,33,-1
53,46,2
64,44,3
52,57,-3
1,77,-10
-30,76,-2
-108,63,4
-128,74,-22
-128,65,-17
-128,31,2
-102,1,-9
-61,-12,-9
-17,-45,-14
7,-41,-18
18,-43,-19
10,-53,-20
-12,-46,-21
-58,-18,-22
-110,-6,-15
-128,-10,-59
-128,60,-57
-128,83,-6
-118,30,-15
-59,33,-10
-1,23,8
24,28,14
50,26,11
53,30,5
38,42,-4
-2,75,-7
-88,83,6
-128,74,-12
-128,89,-9
-128,44,2
-128,23,-3
-54,-8,-4
-15,-39,-1
-5,-42,-3
18,-38,-3
-1,-45,-11
-24,-39,-20
-54,-13,-17
-68,0,2
-110,-13,-15
-128,2,-80
-128,78,-24
-128,45,-20
-80,18,-32
-9,26,-8
23,26,0
51,25,4
52,42,1
42,52,-2
1,74,2
-97,79,-4
-128,78,-18
-128,56,-24
-128,48,-12
-128,26,-4
-71,2,-11
-27,-28,-5
-13,-38,-3
13,-39,1
21,-44,-1
3,-44,-5
-60,-26,-18
-85,-4,-5
-110,-9,-5
-128,5,-59
-128,91,-27
-128,57,-8
-78,14,-25
-17,19,-14
15,23,-7
56,28,1
63,28,-2
47,49,-16
-9,73,2
-41,83,18
-113,82,-1
-128,66,-15
-128,69,1
-128,29,12
-68,-4,-3
-47,-22,-2
-24,-38,0
12,-36,0
15,-44,-4
-17,-50,-11
-58,-29,-17
-55,-20,-13
-92,-12,-10
-128,11,-57
-128,89,-45
-128,64,-7
-90,21,-28
-48,24,-16
25,26,-1
47,34,2
55,35,0
52,53,-3
4,66,-6
-34,68,4
-128,61,8
-128,56,-13
-128,51,-6
-128,25,11
-69,-1,0
-39,-12,-1
-19,-32,-6
14,-35,-1
23,-41,-2
12,-49,-5
-43,-20,-6
-71,-5,-6
-128,-6,-10
-128,28,-50
-128,87,-39
-128,48,-11
-75,20,-24
-43,21,-19
21,21,-3
51,26,-2
60,31,-5
54,42,-11
9,64,-9
-32,74,0
-120,65,11
-128,63,3
-128,65,4
-128,42,15
-116,29,8
-54,-7,-4
-27,-37,-5
-15,-43,-4
0,-41,-5
-7,-46,-9
-26,-42,-15
-59,-22,-15
-74,-11,5
